=== AGV/물류 (10건) ===
  OSRC-322 | 진행 중 | 한국야금 F1 검사기 추가 개발 및 이슈사항 | 소프트웨어팀 이슈 관리
  OSRC-321 | 진행 중 | 대구텍 언로딩 검수 준비 | 소프트웨어팀 이슈 관리
  KRKTGHS20001-24 | 진행 중 | SW 테스트 과정 이슈 | 대구텍 PVD-UL #1 (개조)
  WTAGRND2025-109 | 완료 대기 | 자동운전중 티칭가능 항목 적용 | WTA 연삭기 핸들러개발
  WTAGRND2025-104 | 진행 중 | 핸들러 프로그램 버그(개선) 리포트 | WTA 연삭기 핸들러개발
  WTAGRND2025-103 | 진행 중 | 물류 테스트 기능 추가 | WTA 연삭기 핸들러개발
  WTAGRND2025-102 | 완료 | 팔레트 모두 취출 기능 추가 | WTA 연삭기 핸들러개발
  WTAGRND2025-101 | 지연 | Vision 검출 에러 | WTA 연삭기 핸들러개발
=== 혼입/포장 (10건) ===
  KRKRJPKG0006-131 | 해야 할 일 | [에스컬레이션] 한국야금 포장기 #6 (#25-3) 부적합 미조치 건 일괄 처리 요청 | 한국야금 포장기 #6 (#25-3)
  BGFN-311 | 진행 중 | 라벨부착기 광학계 CD (Cost Down) | [광학기술센터] R&D 및 ISSUE
  BGFN-277 | 진행 중 | Korloy 포장기 #6(#25-3) 혼입 검사 특정 제품 밝기 비대칭 | [광학기술센터] R&D 및 ISSUE
  KRKRJPKG0006-130 | 해야 할 일 | Nose-R 혼입 검사 측정불가 이슈 | 한국야금 포장기 #6 (#25-3)
  FINSETUP-680 | 진행 | 한국야금 포장 #6 | 현장 셋업
  KRWTAHPL2205-23 | 진행 중 | YG1 포장기 이슈 | YG1 포장기 #4 (#22-5)
  BGFN-267 | 진행 중 | Korloy PVD/CVD 향 Flying vision 혼입검사 광학계 검토 | [광학기술센터] R&D 및 ISSUE
  BGFN-256 | 완료 | HAM 범용 acA1300-30gm 카메라 단종 이슈 대책 → acA1300-60gm+f1 | [광학기술센터] R&D 및 ISSUE
=== 호닝/HIM (10건) ===
  YMWR-190 | 해야 할 일 | [한국야금] 청주공장 측정값 이상 조치 | [비전]측정개발
  BGFN-313 | 완료 | (GPT 인사이트) TTK向 HIM-F2E Side 측정/정렬 시스템 오차 분석 | [광학기술센터] R&D 및 ISSUE
  YMWR-188 | 완료 | [한국야금] 진천공장 이슈 확인 | [비전]측정개발
  YMWR-187 | 완료 | [한국교세라] mitaka 측정기 사용 방법 관찰 | [비전]측정개발
  YMWR-186 | 해야 할 일 | [호닝형상검사기] 맞는 치구가 없는 특정 제품에 대한 측정 오류. | [비전]측정개발
  YMWR-185 | 해야 할 일 | [호닝형상검사기] 고배율 얼라인 자동화 | [비전]측정개발
  YMWR-184 | 해야 할 일 | [호닝형상검사기] release/v1.1.1 버전 적용 | [비전]측정개발
  YMWR-183 | 완료 | [호닝형상검사기]타겟 보정 기능 오류 원인 분석 및 조치 방안 | [비전]측정개발
